LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-81,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,EC:08:6B:3B:64:98,-73, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-81,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,TP-LINK_6498,EC:08:6B:3B:64:98,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,TP-LINK_6498,EC:08:6B:3B:64:98,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,TP-LINK_6498,EC:08:6B:3B:64:98,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-81,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,D8:32:14:44:5A:E8,-45, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,TP-LINK_6498,EC:08:6B:3B:64:98,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,1C:5F:2B:D0:E1:D7,-74, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,EC:CB:30:79:EE:CC,-79, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,0C:B6:D2:C1:07:51,-78, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,DJAWEB_44,EC:CB:30:79:EE:CC,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,D-Link,0C:B6:D2:C1:07:51,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-78,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,DJAWEB_44,EC:CB:30:79:EE:CC,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,E0:01:C7:E3:AD:62,-87,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,D-Link,0C:B6:D2:C1:07:51,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,08:5A:11:52:3E:F8,-66, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-79,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-79,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-79,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,DJAWEB_44,EC:CB:30:79:EE:CC,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-77,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-77,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-77,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-76,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-78,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,0C:B6:D2:C2:22:41,-88, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-80,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-80,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-80,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-80,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:32,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-80,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,,06:9F:69:DB:B2:72,-78,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-83,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-81,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,,96:EA:64:A7:EA:A4,-82,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,,28:3B:82:1D:95:FA,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,D-Link,28:3B:82:1D:95:FA,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,,18:0F:76:CD:E1:28,-90, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,,4C:E0:DB:69:92:6A,-86,,0.000000,0.000000,0.000,0.000,Client
2025-04-02 01:23:33,1900-01-00 00:00:00,ADSL+2,18:0F:76:CD:E1:28,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,,EC:CB:30:2E:8F:60,-77, ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,TP-LINK_6498,EC:08:6B:3B:64:98,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,DJAWEB_44,EC:CB:30:79:EE:CC,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:33,1900-01-00 00:00:00,Tenda_445AE8,D8:32:14:44:5A:E8,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:34,1900-01-00 00:00:00,DJAWEB_44,EC:CB:30:79:EE:CC,-40, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:34,1900-01-00 00:00:00,Emirelbihar7,1C:5F:2B:D0:E1:D7,-74, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:34,1900-01-00 00:00:00,DJAWEB_2016,EC:CB:30:2E:8F:60,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-04-02 01:23:34,1900-01-00 00:00:00,DJAWEB_2016,EC:CB:30:2E:8F:60,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
